valueCategory,temporal,temporal_type,georegion,georegion_type,pathogen,type,subtype,testResult,testResult_type,value,prctPathogenType,prctPathogenSubtype,prctTypeSubtype,prctPathogen,lowerCiPathogen,upperCiPathogen,prctPathogenMean3w,prctSamples,dataComplete,defaultView
detections,2020-W50,week,CH,country,influenza,A,all,positive,pcr,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W50,week,CH,country,influenza,B,all,positive,pcr,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W50,week,CH,country,influenza,A,h3n2,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W50,week,CH,country,influenza,A,h1n1,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W50,week,CH,country,influenza,A,unknown,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W50,week,CH,country,influenza,B,victoria,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W50,week,CH,country,influenza,B,yamagata,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W50,week,CH,country,influenza,B,unknown,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W51,week,CH,country,influenza,A,all,positive,pcr,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W51,week,CH,country,influenza,B,all,positive,pcr,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W51,week,CH,country,influenza,A,h3n2,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W51,week,CH,country,influenza,A,h1n1,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W51,week,CH,country,influenza,A,unknown,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W51,week,CH,country,influenza,B,victoria,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W51,week,CH,country,influenza,B,yamagata,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W51,week,CH,country,influenza,B,unknown,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W52,week,CH,country,influenza,A,all,positive,pcr,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W52,week,CH,country,influenza,B,all,positive,pcr,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W52,week,CH,country,influenza,A,h3n2,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W52,week,CH,country,influenza,A,h1n1,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W52,week,CH,country,influenza,A,unknown,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W52,week,CH,country,influenza,B,victoria,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W52,week,CH,country,influenza,B,yamagata,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W52,week,CH,country,influenza,B,unknown,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W53,week,CH,country,influenza,A,all,positive,pcr,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W53,week,CH,country,influenza,B,all,positive,pcr,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W53,week,CH,country,influenza,A,h3n2,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W53,week,CH,country,influenza,A,h1n1,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W53,week,CH,country,influenza,A,unknown,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W53,week,CH,country,influenza,B,victoria,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W53,week,CH,country,influenza,B,yamagata,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2020-W53,week,CH,country,influenza,B,unknown,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2021-W01,week,CH,country,influenza,A,all,positive,pcr,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2021-W01,week,CH,country,influenza,B,all,positive,pcr,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2021-W01,week,CH,country,influenza,A,h3n2,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2021-W01,week,CH,country,influenza,A,h1n1,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2021-W01,week,CH,country,influenza,A,unknown,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2021-W01,week,CH,country,influenza,B,victoria,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2021-W01,week,CH,country,influenza,B,yamagata,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2021-W01,week,CH,country,influenza,B,unknown,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2021-W02,week,CH,country,influenza,A,all,positive,pcr,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2021-W02,week,CH,country,influenza,B,all,positive,pcr,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2021-W02,week,CH,country,influenza,A,h3n2,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2021-W02,week,CH,country,influenza,A,h1n1,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2021-W02,week,CH,country,influenza,A,unknown,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2021-W02,week,CH,country,influenza,B,victoria,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2021-W02,week,CH,country,influenza,B,yamagata,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2021-W02,week,CH,country,influenza,B,unknown,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2021-W03,week,CH,country,influenza,A,all,positive,pcr,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2021-W03,week,CH,country,influenza,B,all,positive,pcr,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2021-W03,week,CH,country,influenza,A,h3n2,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2021-W03,week,CH,country,influenza,A,h1n1,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2021-W03,week,CH,country,influenza,A,unknown,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2021-W03,week,CH,country,influenza,B,victoria,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2021-W03,week,CH,country,influenza,B,yamagata,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2021-W03,week,CH,country,influenza,B,unknown,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2021-W04,week,CH,country,influenza,A,all,positive,pcr,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2021-W04,week,CH,country,influenza,B,all,positive,pcr,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2021-W04,week,CH,country,influenza,A,h3n2,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2021-W04,week,CH,country,influenza,A,h1n1,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2021-W04,week,CH,country,influenza,A,unknown,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2021-W04,week,CH,country,influenza,B,victoria,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2021-W04,week,CH,country,influenza,B,yamagata,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2021-W04,week,CH,country,influenza,B,unknown,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2021-W05,week,CH,country,influenza,A,all,positive,pcr,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2021-W05,week,CH,country,influenza,B,all,positive,pcr,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2021-W05,week,CH,country,influenza,A,h3n2,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2021-W05,week,CH,country,influenza,A,h1n1,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2021-W05,week,CH,country,influenza,A,unknown,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2021-W05,week,CH,country,influenza,B,victoria,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2021-W05,week,CH,country,influenza,B,yamagata,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2021-W05,week,CH,country,influenza,B,unknown,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2021-W06,week,CH,country,influenza,A,all,positive,pcr,0,0,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2021-W06,week,CH,country,influenza,B,all,positive,pcr,1,100,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2021-W06,week,CH,country,influenza,A,h3n2,positive,hht,0,NA,0,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2021-W06,week,CH,country,influenza,A,h1n1,positive,hht,0,NA,0,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2021-W06,week,CH,country,influenza,A,unknown,positive,hht,0,NA,0,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2021-W06,week,CH,country,influenza,B,victoria,positive,hht,0,NA,0,0,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2021-W06,week,CH,country,influenza,B,yamagata,positive,hht,0,NA,0,0,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2021-W06,week,CH,country,influenza,B,unknown,positive,hht,1,NA,100,100,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2021-W07,week,CH,country,influenza,A,all,positive,pcr,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2021-W07,week,CH,country,influenza,B,all,positive,pcr,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2021-W07,week,CH,country,influenza,A,h3n2,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2021-W07,week,CH,country,influenza,A,h1n1,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2021-W07,week,CH,country,influenza,A,unknown,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2021-W07,week,CH,country,influenza,B,victoria,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2021-W07,week,CH,country,influenza,B,yamagata,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2021-W07,week,CH,country,influenza,B,unknown,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2021-W08,week,CH,country,influenza,A,all,positive,pcr,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2021-W08,week,CH,country,influenza,B,all,positive,pcr,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2021-W08,week,CH,country,influenza,A,h3n2,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2021-W08,week,CH,country,influenza,A,h1n1,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2021-W08,week,CH,country,influenza,A,unknown,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2021-W08,week,CH,country,influenza,B,victoria,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2021-W08,week,CH,country,influenza,B,yamagata,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2021-W08,week,CH,country,influenza,B,unknown,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2021-W09,week,CH,country,influenza,A,all,positive,pcr,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2021-W09,week,CH,country,influenza,B,all,positive,pcr,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2021-W09,week,CH,country,influenza,A,h3n2,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2021-W09,week,CH,country,influenza,A,h1n1,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2021-W09,week,CH,country,influenza,A,unknown,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2021-W09,week,CH,country,influenza,B,victoria,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2021-W09,week,CH,country,influenza,B,yamagata,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2021-W09,week,CH,country,influenza,B,unknown,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2021-W10,week,CH,country,influenza,A,all,positive,pcr,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2021-W10,week,CH,country,influenza,B,all,positive,pcr,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2021-W10,week,CH,country,influenza,A,h3n2,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2021-W10,week,CH,country,influenza,A,h1n1,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2021-W10,week,CH,country,influenza,A,unknown,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2021-W10,week,CH,country,influenza,B,victoria,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2021-W10,week,CH,country,influenza,B,yamagata,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2021-W10,week,CH,country,influenza,B,unknown,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2021-W11,week,CH,country,influenza,A,all,positive,pcr,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2021-W11,week,CH,country,influenza,B,all,positive,pcr,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2021-W11,week,CH,country,influenza,A,h3n2,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2021-W11,week,CH,country,influenza,A,h1n1,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2021-W11,week,CH,country,influenza,A,unknown,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2021-W11,week,CH,country,influenza,B,victoria,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2021-W11,week,CH,country,influenza,B,yamagata,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2021-W11,week,CH,country,influenza,B,unknown,positive,hht,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
detections,2021-W12,week,CH,country,influenza,A,all,positive,pcr,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
