valueCategory,temporal,temporal_type,georegion,georegion_type,agegroup,agegroup_type,sex,value,popExtrapolation,totalConsultationsExtrapolation,incValue,prctConsultations,prct,trend,dataComplete
consultations,2020-W20,week,CH,country,all,agegroup_ili_ari,all,6357.9,167737.4,10837,73.33,1.14,100,rising,TRUE
consultations,2020-W20,week,region_1,sentinella_region,all,agegroup_ili_ari,all,869.2,31844.3,2143,47.1,0.7,13.9,stagnant,TRUE
consultations,2020-W20,week,region_2,sentinella_region,all,agegroup_ili_ari,all,1060.1,29930.8,1901,73.5,1.16,17,rising,TRUE
consultations,2020-W20,week,region_3,sentinella_region,all,agegroup_ili_ari,all,512.9,25601.5,1608,35.15,0.56,8.2,rising,TRUE
consultations,2020-W20,week,region_4,sentinella_region,all,agegroup_ili_ari,all,639.6,20655.6,1188,77.46,1.35,10.2,rising,TRUE
consultations,2020-W20,week,region_5,sentinella_region,all,agegroup_ili_ari,all,2443,48991.3,3095,95.94,1.52,39.1,stagnant,TRUE
consultations,2020-W20,week,region_6,sentinella_region,all,agegroup_ili_ari,all,720.1,10713.8,902,130.67,1.55,11.5,stagnant,TRUE
consultations,2020-W21,week,CH,country,all,agegroup_ili_ari,all,6177.6,134740.6,8288,71.25,1.16,100,stagnant,TRUE
consultations,2020-W21,week,region_1,sentinella_region,all,agegroup_ili_ari,all,468.8,23622.4,1515,25.4,0.4,7.8,falling,TRUE
consultations,2020-W21,week,region_2,sentinella_region,all,agegroup_ili_ari,all,1563.3,24909.5,1507,108.39,1.79,25.9,rising,TRUE
consultations,2020-W21,week,region_3,sentinella_region,all,agegroup_ili_ari,all,984.7,19265.6,1154,67.48,1.13,16.3,rising,TRUE
consultations,2020-W21,week,region_4,sentinella_region,all,agegroup_ili_ari,all,371.3,17788.1,973,44.97,0.82,6.2,falling,TRUE
consultations,2020-W21,week,region_5,sentinella_region,all,agegroup_ili_ari,all,1903.4,40131.4,2414,74.75,1.24,31.6,stagnant,TRUE
consultations,2020-W21,week,region_6,sentinella_region,all,agegroup_ili_ari,all,732.9,9023.5,725,132.99,1.66,12.2,stagnant,TRUE
consultations,2020-W22,week,CH,country,all,agegroup_ili_ari,all,6299.8,188550.9,11871,72.66,1.15,100,stagnant,TRUE
consultations,2020-W22,week,region_1,sentinella_region,all,agegroup_ili_ari,all,844.1,32793.9,2155,45.74,0.7,13.6,stagnant,TRUE
consultations,2020-W22,week,region_2,sentinella_region,all,agegroup_ili_ari,all,2020.7,34261.6,2113,140.1,2.27,32.5,rising,TRUE
consultations,2020-W22,week,region_3,sentinella_region,all,agegroup_ili_ari,all,798.9,29224.2,1786,54.75,0.9,12.9,stagnant,TRUE
consultations,2020-W22,week,region_4,sentinella_region,all,agegroup_ili_ari,all,272.7,24225.8,1359,33.02,0.59,4.4,falling,TRUE
consultations,2020-W22,week,region_5,sentinella_region,all,agegroup_ili_ari,all,1890.4,55227.9,3404,74.24,1.2,30.4,stagnant,TRUE
consultations,2020-W22,week,region_6,sentinella_region,all,agegroup_ili_ari,all,387,12817.4,1054,70.22,0.85,6.2,falling,TRUE
consultations,2020-W23,week,CH,country,all,agegroup_ili_ari,all,8163.1,154005.1,10050,94.15,1.44,100,rising,TRUE
consultations,2020-W23,week,region_1,sentinella_region,all,agegroup_ili_ari,all,504.9,25587.4,1753,27.36,0.4,6.4,stagnant,TRUE
consultations,2020-W23,week,region_2,sentinella_region,all,agegroup_ili_ari,all,2550.5,28275.6,1807,176.83,2.77,32.3,rising,TRUE
consultations,2020-W23,week,region_3,sentinella_region,all,agegroup_ili_ari,all,1548.3,22620.5,1431,106.1,1.68,19.6,rising,TRUE
consultations,2020-W23,week,region_4,sentinella_region,all,agegroup_ili_ari,all,539.3,21437,1250,65.31,1.12,6.8,rising,TRUE
consultations,2020-W23,week,region_5,sentinella_region,all,agegroup_ili_ari,all,2273.4,45923.2,2940,89.28,1.39,28.8,rising,TRUE
consultations,2020-W23,week,region_6,sentinella_region,all,agegroup_ili_ari,all,488.1,10161.3,869,88.57,1.04,6.2,stagnant,TRUE
consultations,2020-W24,week,CH,country,all,agegroup_ili_ari,all,11100.6,188232.5,12125,128.03,1.99,100,rising,TRUE
consultations,2020-W24,week,region_1,sentinella_region,all,agegroup_ili_ari,all,2602.2,34751.9,2347,141,2.09,23,rising,TRUE
consultations,2020-W24,week,region_2,sentinella_region,all,agegroup_ili_ari,all,3313.6,32645.5,2065,229.74,3.63,29.3,rising,TRUE
consultations,2020-W24,week,region_3,sentinella_region,all,agegroup_ili_ari,all,2021.8,28148.5,1760,138.55,2.22,17.9,rising,TRUE
consultations,2020-W24,week,region_4,sentinella_region,all,agegroup_ili_ari,all,372.7,24375.2,1404,45.13,0.78,3.3,stagnant,TRUE
consultations,2020-W24,week,region_5,sentinella_region,all,agegroup_ili_ari,all,2650.8,57636.6,3648,104.1,1.64,23.4,rising,TRUE
consultations,2020-W24,week,region_6,sentinella_region,all,agegroup_ili_ari,all,361.3,10674.9,901,65.57,0.78,3.2,stagnant,TRUE
consultations,2020-W25,week,CH,country,all,agegroup_ili_ari,all,14432.6,194042,12576,166.46,2.57,100,rising,TRUE
consultations,2020-W25,week,region_1,sentinella_region,all,agegroup_ili_ari,all,2779.3,37848.7,2575,150.6,2.21,18.9,stagnant,TRUE
consultations,2020-W25,week,region_2,sentinella_region,all,agegroup_ili_ari,all,3221.9,33126.9,2113,223.38,3.5,21.9,stagnant,TRUE
consultations,2020-W25,week,region_3,sentinella_region,all,agegroup_ili_ari,all,2267.2,28962.9,1816,155.37,2.48,15.4,rising,TRUE
consultations,2020-W25,week,region_4,sentinella_region,all,agegroup_ili_ari,all,646.6,26818.7,1549,78.3,1.36,4.4,rising,TRUE
consultations,2020-W25,week,region_5,sentinella_region,all,agegroup_ili_ari,all,4839.4,55248.5,3505,190.05,3,32.9,rising,TRUE
consultations,2020-W25,week,region_6,sentinella_region,all,agegroup_ili_ari,all,961.5,12036.4,1018,174.47,2.06,6.5,rising,TRUE
consultations,2020-W26,week,CH,country,all,agegroup_ili_ari,all,14117.8,192221.9,12568,162.83,2.49,100,stagnant,TRUE
consultations,2020-W26,week,region_1,sentinella_region,all,agegroup_ili_ari,all,3365.1,33454.7,2287,182.34,2.67,23.6,rising,TRUE
consultations,2020-W26,week,region_2,sentinella_region,all,agegroup_ili_ari,all,2140.1,33697.4,2163,148.38,2.31,15,falling,TRUE
consultations,2020-W26,week,region_3,sentinella_region,all,agegroup_ili_ari,all,1153.7,25297.1,1600,79.06,1.25,8.1,falling,TRUE
consultations,2020-W26,week,region_4,sentinella_region,all,agegroup_ili_ari,all,587.5,28107.7,1637,71.15,1.22,4.1,stagnant,TRUE
consultations,2020-W26,week,region_5,sentinella_region,all,agegroup_ili_ari,all,5814.2,57373.7,3663,228.33,3.58,40.8,rising,TRUE
consultations,2020-W26,week,region_6,sentinella_region,all,agegroup_ili_ari,all,1195.4,14291.2,1218,216.92,2.55,8.4,rising,TRUE
consultations,2020-W27,week,CH,country,all,agegroup_ili_ari,all,17027.6,188396.8,11826,196.39,3.13,100,rising,TRUE
consultations,2020-W27,week,region_1,sentinella_region,all,agegroup_ili_ari,all,1962,33862.4,2237,106.31,1.61,11.6,falling,TRUE
consultations,2020-W27,week,region_2,sentinella_region,all,agegroup_ili_ari,all,2551.3,33353.8,2058,176.89,2.87,15.1,stagnant,TRUE
consultations,2020-W27,week,region_3,sentinella_region,all,agegroup_ili_ari,all,1805.2,23442.7,1440,123.71,2.01,10.7,stagnant,TRUE
consultations,2020-W27,week,region_4,sentinella_region,all,agegroup_ili_ari,all,537.1,29206.2,1650,65.05,1.15,3.2,stagnant,TRUE
consultations,2020-W27,week,region_5,sentinella_region,all,agegroup_ili_ari,all,9078.9,59460.7,3688,356.54,5.75,53.9,rising,TRUE
consultations,2020-W27,week,region_6,sentinella_region,all,agegroup_ili_ari,all,911.3,9071,753,165.36,1.99,5.4,stagnant,TRUE
consultations,2020-W28,week,CH,country,all,agegroup_ili_ari,all,12205.2,186827.7,10582,140.77,2.49,100,falling,TRUE
consultations,2020-W28,week,region_1,sentinella_region,all,agegroup_ili_ari,all,1242.2,34171.2,2026,67.31,1.14,10.2,falling,TRUE
consultations,2020-W28,week,region_2,sentinella_region,all,agegroup_ili_ari,all,1851.2,32722.4,1811,128.35,2.32,15.2,falling,TRUE
consultations,2020-W28,week,region_3,sentinella_region,all,agegroup_ili_ari,all,1963.7,24522.9,1348,134.57,2.45,16.1,stagnant,TRUE
consultations,2020-W28,week,region_4,sentinella_region,all,agegroup_ili_ari,all,539,27577,1401,65.27,1.28,4.4,stagnant,TRUE
consultations,2020-W28,week,region_5,sentinella_region,all,agegroup_ili_ari,all,5989.1,57397.5,3222,235.2,4.19,49,stagnant,TRUE
consultations,2020-W28,week,region_6,sentinella_region,all,agegroup_ili_ari,all,633.6,10436.7,774,114.98,1.55,5.2,falling,TRUE
consultations,2020-W29,week,CH,country,all,agegroup_ili_ari,all,8281.9,182170.3,9178,95.52,1.9,100,falling,TRUE
consultations,2020-W29,week,region_1,sentinella_region,all,agegroup_ili_ari,all,680.3,35266.7,1856,36.86,0.7,8.2,falling,TRUE
consultations,2020-W29,week,region_2,sentinella_region,all,agegroup_ili_ari,all,796,30801.7,1487,55.19,1.14,9.6,falling,TRUE
consultations,2020-W29,week,region_3,sentinella_region,all,agegroup_ili_ari,all,1375,20164.2,978,94.23,1.94,16.5,falling,TRUE
consultations,2020-W29,week,region_4,sentinella_region,all,agegroup_ili_ari,all,384.7,27900.1,1240,46.59,1.05,4.6,falling,TRUE
consultations,2020-W29,week,region_5,sentinella_region,all,agegroup_ili_ari,all,3918.1,55892.2,2827,153.87,3.04,47,falling,TRUE
consultations,2020-W29,week,region_6,sentinella_region,all,agegroup_ili_ari,all,1179.7,12145.5,790,214.07,3.29,14.2,rising,TRUE
consultations,2020-W30,week,CH,country,all,agegroup_ili_ari,all,5133.7,184082,8019,59.21,1.36,100,falling,TRUE
consultations,2020-W30,week,region_1,sentinella_region,all,agegroup_ili_ari,all,200.2,27649.9,1240,10.85,0.24,4,falling,TRUE
consultations,2020-W30,week,region_2,sentinella_region,all,agegroup_ili_ari,all,673.4,34265.2,1363,46.69,1.17,13.5,falling,TRUE
consultations,2020-W30,week,region_3,sentinella_region,all,agegroup_ili_ari,all,430.9,27087.8,1125,29.53,0.71,8.7,falling,TRUE
consultations,2020-W30,week,region_4,sentinella_region,all,agegroup_ili_ari,all,34.4,24018.9,937,4.16,0.11,0.7,falling,TRUE
consultations,2020-W30,week,region_5,sentinella_region,all,agegroup_ili_ari,all,3175.6,52119.6,2279,124.71,2.85,63.8,falling,TRUE
consultations,2020-W30,week,region_6,sentinella_region,all,agegroup_ili_ari,all,465.5,18940.7,1075,84.47,1.49,9.3,falling,TRUE
consultations,2020-W31,week,CH,country,all,agegroup_ili_ari,all,4160,235517.6,8555,47.98,1.32,100,falling,TRUE
consultations,2020-W31,week,region_1,sentinella_region,all,agegroup_ili_ari,all,514.5,39457.6,1457,27.88,0.75,11.6,stagnant,TRUE
consultations,2020-W31,week,region_2,sentinella_region,all,agegroup_ili_ari,all,601.7,43146.1,1418,41.72,1.27,13.6,falling,TRUE
consultations,2020-W31,week,region_3,sentinella_region,all,agegroup_ili_ari,all,228.5,44693,1625,15.66,0.43,5.2,falling,TRUE
consultations,2020-W31,week,region_4,sentinella_region,all,agegroup_ili_ari,all,222.9,33350.7,1105,26.99,0.81,5,stagnant,TRUE
consultations,2020-W31,week,region_5,sentinella_region,all,agegroup_ili_ari,all,2409.9,54943.9,1995,94.64,2.61,54.5,falling,TRUE
consultations,2020-W31,week,region_6,sentinella_region,all,agegroup_ili_ari,all,442.5,19926.2,955,80.3,1.68,10,stagnant,TRUE
consultations,2020-W32,week,CH,country,all,agegroup_ili_ari,all,4653.4,173274.3,8255,53.67,1.13,100,stagnant,TRUE
consultations,2020-W32,week,region_1,sentinella_region,all,agegroup_ili_ari,all,694.8,23906.9,1197,37.65,0.75,14.5,rising,TRUE
consultations,2020-W32,week,region_2,sentinella_region,all,agegroup_ili_ari,all,755.2,34375.2,1518,52.36,1.19,15.8,rising,TRUE
consultations,2020-W32,week,region_3,sentinella_region,all,agegroup_ili_ari,all,237.6,30705.4,1464,16.28,0.34,5,stagnant,TRUE
consultations,2020-W32,week,region_4,sentinella_region,all,agegroup_ili_ari,all,311.1,29191.9,1272,37.68,0.86,6.5,rising,TRUE
consultations,2020-W32,week,region_5,sentinella_region,all,agegroup_ili_ari,all,2476.1,46277.4,2226,97.24,2.02,51.7,stagnant,TRUE
consultations,2020-W32,week,region_6,sentinella_region,all,agegroup_ili_ari,all,312.5,8817.6,578,56.7,0.87,6.5,falling,TRUE
consultations,2020-W33,week,CH,country,all,agegroup_ili_ari,all,6699.5,169542.4,9265,77.27,1.41,100,rising,TRUE
consultations,2020-W33,week,region_1,sentinella_region,all,agegroup_ili_ari,all,496.6,26017.1,1489,26.91,0.47,7.8,stagnant,TRUE
consultations,2020-W33,week,region_2,sentinella_region,all,agegroup_ili_ari,all,956.7,31661.3,1659,66.33,1.27,15,rising,TRUE
consultations,2020-W33,week,region_3,sentinella_region,all,agegroup_ili_ari,all,985.1,23700.8,1290,67.51,1.24,15.4,rising,TRUE
consultations,2020-W33,week,region_4,sentinella_region,all,agegroup_ili_ari,all,771.1,25700.2,1247,93.38,1.92,12.1,rising,TRUE
consultations,2020-W33,week,region_5,sentinella_region,all,agegroup_ili_ari,all,2474.3,54541.6,3005,97.17,1.76,38.8,stagnant,TRUE
consultations,2020-W33,week,region_6,sentinella_region,all,agegroup_ili_ari,all,695.7,7921.3,575,126.24,1.74,10.9,rising,TRUE
consultations,2020-W34,week,CH,country,all,agegroup_ili_ari,all,12550.3,178924.9,11206,144.75,2.31,100,rising,TRUE
consultations,2020-W34,week,region_1,sentinella_region,all,agegroup_ili_ari,all,1101.8,31823.7,2084,59.7,0.91,8.8,rising,TRUE
consultations,2020-W34,week,region_2,sentinella_region,all,agegroup_ili_ari,all,1812.2,35020.5,2126,125.64,2.07,14.4,rising,TRUE
consultations,2020-W34,week,region_3,sentinella_region,all,agegroup_ili_ari,all,3837.8,27376.2,1656,263,4.35,30.5,rising,TRUE
consultations,2020-W34,week,region_4,sentinella_region,all,agegroup_ili_ari,all,993.7,22436.3,1252,120.34,2.16,7.9,rising,TRUE
consultations,2020-W34,week,region_5,sentinella_region,all,agegroup_ili_ari,all,3611.8,51466.4,3206,141.84,2.28,28.7,rising,TRUE
consultations,2020-W34,week,region_6,sentinella_region,all,agegroup_ili_ari,all,1224.4,10801.7,882,222.19,2.72,9.7,rising,TRUE
consultations,2020-W35,week,CH,country,all,agegroup_ili_ari,all,15610,180510.8,11507,180.04,2.82,100,rising,TRUE
consultations,2020-W35,week,region_1,sentinella_region,all,agegroup_ili_ari,all,1085.7,30597.4,2036,58.83,0.88,7.1,stagnant,TRUE
consultations,2020-W35,week,region_2,sentinella_region,all,agegroup_ili_ari,all,2522.6,35449.6,2219,174.9,2.79,16.4,rising,TRUE
consultations,2020-W35,week,region_3,sentinella_region,all,agegroup_ili_ari,all,2516,25518.7,1570,172.42,2.8,16.4,stagnant,TRUE
consultations,2020-W35,week,region_4,sentinella_region,all,agegroup_ili_ari,all,1124.5,24967.6,1416,136.18,2.4,7.3,rising,TRUE
consultations,2020-W35,week,region_5,sentinella_region,all,agegroup_ili_ari,all,7280.9,52111.4,3279,285.93,4.54,47.4,rising,TRUE
consultations,2020-W35,week,region_6,sentinella_region,all,agegroup_ili_ari,all,835.9,11866.1,987,151.69,1.82,5.4,stagnant,TRUE
consultations,2020-W36,week,CH,country,all,agegroup_ili_ari,all,17561.7,184648.2,11443,202.55,3.27,100,rising,TRUE
consultations,2020-W36,week,region_1,sentinella_region,all,agegroup_ili_ari,all,1331.3,31884.6,2069,72.14,1.11,7.6,rising,TRUE
consultations,2020-W36,week,region_2,sentinella_region,all,agegroup_ili_ari,all,2911.2,33689.8,2044,201.84,3.33,16.6,rising,TRUE
consultations,2020-W36,week,region_3,sentinella_region,all,agegroup_ili_ari,all,2374,26430.6,1588,162.69,2.71,13.6,stagnant,TRUE
consultations,2020-W36,week,region_4,sentinella_region,all,agegroup_ili_ari,all,1154.7,28604.2,1585,139.84,2.52,6.6,stagnant,TRUE
consultations,2020-W36,week,region_5,sentinella_region,all,agegroup_ili_ari,all,8740,51860.8,3168,343.23,5.62,49.9,rising,TRUE
consultations,2020-W36,week,region_6,sentinella_region,all,agegroup_ili_ari,all,995.5,12178.2,989,180.65,2.22,5.7,stagnant,TRUE
consultations,2020-W37,week,CH,country,all,agegroup_ili_ari,all,21230.1,180922.9,11687,244.86,3.79,100,rising,TRUE
consultations,2020-W37,week,region_1,sentinella_region,all,agegroup_ili_ari,all,1853.4,31863.7,2145,100.43,1.49,9,rising,TRUE
consultations,2020-W37,week,region_2,sentinella_region,all,agegroup_ili_ari,all,3031.4,32355.1,2029,210.17,3.35,14.8,stagnant,TRUE
consultations,2020-W37,week,region_3,sentinella_region,all,agegroup_ili_ari,all,3322.1,27233.3,1692,227.66,3.66,16.2,rising,TRUE
consultations,2020-W37,week,region_4,sentinella_region,all,agegroup_ili_ari,all,1172,19728.7,1126,141.93,2.49,5.7,stagnant,TRUE
consultations,2020-W37,week,region_5,sentinella_region,all,agegroup_ili_ari,all,8701,55310.9,3485,341.7,5.42,42.4,stagnant,TRUE
consultations,2020-W37,week,region_6,sentinella_region,all,agegroup_ili_ari,all,2443.9,14431.2,1210,443.48,5.29,11.9,rising,TRUE
consultations,2020-W38,week,CH,country,all,agegroup_ili_ari,all,17325,189168.3,12137,199.82,3.11,100,stagnant,TRUE
consultations,2020-W38,week,region_1,sentinella_region,all,agegroup_ili_ari,all,1911.9,34750.5,2323,103.6,1.55,11.2,stagnant,TRUE
consultations,2020-W38,week,region_2,sentinella_region,all,agegroup_ili_ari,all,2136.5,33753.3,2102,148.13,2.38,12.5,falling,TRUE
consultations,2020-W38,week,region_3,sentinella_region,all,agegroup_ili_ari,all,1533.5,26643.8,1648,105.09,1.7,9,falling,TRUE
