valueCategory,temporal,temporal_type,georegion,georegion_type,subtype,testResult,testResult_type,value,prct,lowerCi,upperCi,prctMean3w,dataComplete,defaultView
detections_hospitalisations,2022-W17,iso_week,CHFL,CHFL,XBB,positive,pcr,0,0,0,8.1,0,TRUE,TRUE
detections_hospitalisations,2022-W17,iso_week,CHFL,CHFL,other,positive,pcr,1,0.6,0,9.1,0.7,TRUE,FALSE
samples_hospitalisations,2022-W17,iso_week,CHFL,CHFL,all,positive,pcr,176,NA,NA,NA,NA,TRUE,FALSE
detections_hospitalisations,2022-W18,iso_week,CHFL,CHFL,BA.1,positive,pcr,1,0.7,0,11.4,2,TRUE,FALSE
detections_hospitalisations,2022-W18,iso_week,CHFL,CHFL,BA.2,positive,pcr,132,95.7,83.1,99,94.5,TRUE,FALSE
detections_hospitalisations,2022-W18,iso_week,CHFL,CHFL,BA.2.75,positive,pcr,0,0,0,10.1,0,TRUE,TRUE
detections_hospitalisations,2022-W18,iso_week,CHFL,CHFL,BA.2.86,positive,pcr,0,0,0,10.1,0,TRUE,TRUE
detections_hospitalisations,2022-W18,iso_week,CHFL,CHFL,BA.4,positive,pcr,2,1.4,0.2,12.6,0.7,TRUE,FALSE
detections_hospitalisations,2022-W18,iso_week,CHFL,CHFL,BA.5,positive,pcr,1,0.7,0,11.4,1.9,TRUE,TRUE
detections_hospitalisations,2022-W18,iso_week,CHFL,CHFL,BQ.1,positive,pcr,0,0,0,10.1,0,TRUE,TRUE
detections_hospitalisations,2022-W18,iso_week,CHFL,CHFL,XBB,positive,pcr,0,0,0,10.1,0,TRUE,TRUE
detections_hospitalisations,2022-W18,iso_week,CHFL,CHFL,other,positive,pcr,2,1.4,0.2,12.6,0.9,TRUE,FALSE
samples_hospitalisations,2022-W18,iso_week,CHFL,CHFL,all,positive,pcr,138,NA,NA,NA,NA,TRUE,FALSE
detections_hospitalisations,2022-W19,iso_week,CHFL,CHFL,BA.1,positive,pcr,3,2.4,0.3,15.2,1,TRUE,FALSE
detections_hospitalisations,2022-W19,iso_week,CHFL,CHFL,BA.2,positive,pcr,113,91.9,76.9,97.5,92.2,TRUE,FALSE
detections_hospitalisations,2022-W19,iso_week,CHFL,CHFL,BA.2.75,positive,pcr,0,0,0,11.2,0,TRUE,TRUE
detections_hospitalisations,2022-W19,iso_week,CHFL,CHFL,BA.2.86,positive,pcr,0,0,0,11.2,0,TRUE,TRUE
detections_hospitalisations,2022-W19,iso_week,CHFL,CHFL,BA.4,positive,pcr,0,0,0,11.2,1.1,TRUE,FALSE
detections_hospitalisations,2022-W19,iso_week,CHFL,CHFL,BA.5,positive,pcr,6,4.9,1.1,18.7,4.8,TRUE,TRUE
detections_hospitalisations,2022-W19,iso_week,CHFL,CHFL,BQ.1,positive,pcr,0,0,0,11.2,0,TRUE,TRUE
detections_hospitalisations,2022-W19,iso_week,CHFL,CHFL,XBB,positive,pcr,0,0,0,11.2,0,TRUE,TRUE
detections_hospitalisations,2022-W19,iso_week,CHFL,CHFL,other,positive,pcr,1,0.8,0,12.6,0.7,TRUE,FALSE
samples_hospitalisations,2022-W19,iso_week,CHFL,CHFL,all,positive,pcr,123,NA,NA,NA,NA,TRUE,FALSE
detections_hospitalisations,2022-W20,iso_week,CHFL,CHFL,BA.1,positive,pcr,0,0,0,13.3,1.6,TRUE,FALSE
detections_hospitalisations,2022-W20,iso_week,CHFL,CHFL,BA.2,positive,pcr,90,89.1,71.4,96.4,79.9,TRUE,FALSE
detections_hospitalisations,2022-W20,iso_week,CHFL,CHFL,BA.2.75,positive,pcr,0,0,0,13.3,0,TRUE,TRUE
detections_hospitalisations,2022-W20,iso_week,CHFL,CHFL,BA.2.86,positive,pcr,0,0,0,13.3,0,TRUE,TRUE
detections_hospitalisations,2022-W20,iso_week,CHFL,CHFL,BA.4,positive,pcr,2,2,0.2,16.5,3,TRUE,FALSE
detections_hospitalisations,2022-W20,iso_week,CHFL,CHFL,BA.5,positive,pcr,9,8.9,2.6,26.1,14.2,TRUE,TRUE
detections_hospitalisations,2022-W20,iso_week,CHFL,CHFL,BQ.1,positive,pcr,0,0,0,13.3,0,TRUE,TRUE
detections_hospitalisations,2022-W20,iso_week,CHFL,CHFL,XBB,positive,pcr,0,0,0,13.3,0,TRUE,TRUE
detections_hospitalisations,2022-W20,iso_week,CHFL,CHFL,other,positive,pcr,0,0,0,13.3,1.4,TRUE,FALSE
samples_hospitalisations,2022-W20,iso_week,CHFL,CHFL,all,positive,pcr,101,NA,NA,NA,NA,TRUE,FALSE
detections_hospitalisations,2022-W21,iso_week,CHFL,CHFL,BA.1,positive,pcr,2,2.3,0.2,18.8,1,TRUE,FALSE
detections_hospitalisations,2022-W21,iso_week,CHFL,CHFL,BA.2,positive,pcr,51,58.6,38.1,76.5,65,TRUE,FALSE
detections_hospitalisations,2022-W21,iso_week,CHFL,CHFL,BA.2.75,positive,pcr,0,0,0,15.1,0,TRUE,TRUE
detections_hospitalisations,2022-W21,iso_week,CHFL,CHFL,BA.2.86,positive,pcr,0,0,0,15.1,0,TRUE,TRUE
detections_hospitalisations,2022-W21,iso_week,CHFL,CHFL,BA.4,positive,pcr,6,6.9,1.6,25.2,6.1,TRUE,FALSE
detections_hospitalisations,2022-W21,iso_week,CHFL,CHFL,BA.5,positive,pcr,25,28.7,14.1,49.8,25.7,TRUE,TRUE
detections_hospitalisations,2022-W21,iso_week,CHFL,CHFL,BQ.1,positive,pcr,0,0,0,15.1,0,TRUE,TRUE
detections_hospitalisations,2022-W21,iso_week,CHFL,CHFL,XBB,positive,pcr,0,0,0,15.1,0,TRUE,TRUE
detections_hospitalisations,2022-W21,iso_week,CHFL,CHFL,other,positive,pcr,3,3.4,0.5,20.5,2.1,TRUE,FALSE
samples_hospitalisations,2022-W21,iso_week,CHFL,CHFL,all,positive,pcr,87,NA,NA,NA,NA,TRUE,FALSE
detections_hospitalisations,2022-W22,iso_week,CHFL,CHFL,BA.1,positive,pcr,1,0.7,0,11.4,1,TRUE,FALSE
detections_hospitalisations,2022-W22,iso_week,CHFL,CHFL,BA.2,positive,pcr,65,47.4,31.8,63.6,48.9,TRUE,FALSE
detections_hospitalisations,2022-W22,iso_week,CHFL,CHFL,BA.2.75,positive,pcr,0,0,0,10.2,0,TRUE,TRUE
detections_hospitalisations,2022-W22,iso_week,CHFL,CHFL,BA.2.86,positive,pcr,0,0,0,10.2,0,TRUE,TRUE
detections_hospitalisations,2022-W22,iso_week,CHFL,CHFL,BA.4,positive,pcr,13,9.5,3.4,23.8,7.7,TRUE,FALSE
detections_hospitalisations,2022-W22,iso_week,CHFL,CHFL,BA.5,positive,pcr,54,39.4,24.9,56.1,39.4,TRUE,TRUE
detections_hospitalisations,2022-W22,iso_week,CHFL,CHFL,BQ.1,positive,pcr,0,0,0,10.2,0,TRUE,TRUE
detections_hospitalisations,2022-W22,iso_week,CHFL,CHFL,XBB,positive,pcr,0,0,0,10.2,0,TRUE,TRUE
detections_hospitalisations,2022-W22,iso_week,CHFL,CHFL,other,positive,pcr,4,2.9,0.5,14.9,3,TRUE,FALSE
samples_hospitalisations,2022-W22,iso_week,CHFL,CHFL,all,positive,pcr,137,NA,NA,NA,NA,TRUE,FALSE
detections_hospitalisations,2022-W23,iso_week,CHFL,CHFL,BA.1,positive,pcr,0,0,0,7.3,0.4,TRUE,FALSE
detections_hospitalisations,2022-W23,iso_week,CHFL,CHFL,BA.2,positive,pcr,80,40.8,28.2,54.8,38,TRUE,FALSE
detections_hospitalisations,2022-W23,iso_week,CHFL,CHFL,BA.2.75,positive,pcr,0,0,0,7.3,0,TRUE,TRUE
detections_hospitalisations,2022-W23,iso_week,CHFL,CHFL,BA.2.86,positive,pcr,0,0,0,7.3,0,TRUE,TRUE
detections_hospitalisations,2022-W23,iso_week,CHFL,CHFL,BA.4,positive,pcr,13,6.6,2.4,17.3,6.9,TRUE,FALSE
detections_hospitalisations,2022-W23,iso_week,CHFL,CHFL,BA.5,positive,pcr,98,50,36.5,63.5,52.1,TRUE,TRUE
detections_hospitalisations,2022-W23,iso_week,CHFL,CHFL,BQ.1,positive,pcr,0,0,0,7.3,0,TRUE,TRUE
detections_hospitalisations,2022-W23,iso_week,CHFL,CHFL,XBB,positive,pcr,0,0,0,7.3,0,TRUE,TRUE
detections_hospitalisations,2022-W23,iso_week,CHFL,CHFL,other,positive,pcr,5,2.6,0.5,11.5,2.6,TRUE,FALSE
samples_hospitalisations,2022-W23,iso_week,CHFL,CHFL,all,positive,pcr,196,NA,NA,NA,NA,TRUE,FALSE
detections_hospitalisations,2022-W24,iso_week,CHFL,CHFL,BA.1,positive,pcr,1,0.6,0,9,0.2,TRUE,FALSE
detections_hospitalisations,2022-W24,iso_week,CHFL,CHFL,BA.2,positive,pcr,46,25.7,15.1,40.1,26.2,TRUE,FALSE
detections_hospitalisations,2022-W24,iso_week,CHFL,CHFL,BA.2.75,positive,pcr,0,0,0,8,0,TRUE,TRUE
detections_hospitalisations,2022-W24,iso_week,CHFL,CHFL,BA.2.86,positive,pcr,0,0,0,8,0,TRUE,TRUE
detections_hospitalisations,2022-W24,iso_week,CHFL,CHFL,BA.4,positive,pcr,8,4.5,1.2,15,5.8,TRUE,FALSE
detections_hospitalisations,2022-W24,iso_week,CHFL,CHFL,BA.5,positive,pcr,120,67,52.3,79,65.7,TRUE,TRUE
detections_hospitalisations,2022-W24,iso_week,CHFL,CHFL,BQ.1,positive,pcr,0,0,0,8,0,TRUE,TRUE
detections_hospitalisations,2022-W24,iso_week,CHFL,CHFL,XBB,positive,pcr,0,0,0,8,0,TRUE,TRUE
detections_hospitalisations,2022-W24,iso_week,CHFL,CHFL,other,positive,pcr,4,2.2,0.4,11.7,2.2,TRUE,FALSE
samples_hospitalisations,2022-W24,iso_week,CHFL,CHFL,all,positive,pcr,179,NA,NA,NA,NA,TRUE,FALSE
detections_hospitalisations,2022-W25,iso_week,CHFL,CHFL,BA.1,positive,pcr,0,0,0,6,0.2,TRUE,FALSE
detections_hospitalisations,2022-W25,iso_week,CHFL,CHFL,BA.2,positive,pcr,29,12,6,22.7,16,TRUE,FALSE
detections_hospitalisations,2022-W25,iso_week,CHFL,CHFL,BA.2.75,positive,pcr,0,0,0,6,0,TRUE,TRUE
detections_hospitalisations,2022-W25,iso_week,CHFL,CHFL,BA.2.86,positive,pcr,0,0,0,6,0,TRUE,TRUE
detections_hospitalisations,2022-W25,iso_week,CHFL,CHFL,BA.4,positive,pcr,15,6.2,2.4,15.4,5.4,TRUE,FALSE
detections_hospitalisations,2022-W25,iso_week,CHFL,CHFL,BA.5,positive,pcr,193,80.1,68.3,88.3,76.1,TRUE,TRUE
detections_hospitalisations,2022-W25,iso_week,CHFL,CHFL,BQ.1,positive,pcr,0,0,0,6,0,TRUE,TRUE
detections_hospitalisations,2022-W25,iso_week,CHFL,CHFL,XBB,positive,pcr,0,0,0,6,0,TRUE,TRUE
detections_hospitalisations,2022-W25,iso_week,CHFL,CHFL,other,positive,pcr,4,1.7,0.3,8.9,2.2,TRUE,FALSE
samples_hospitalisations,2022-W25,iso_week,CHFL,CHFL,all,positive,pcr,241,NA,NA,NA,NA,TRUE,FALSE
detections_hospitalisations,2022-W26,iso_week,CHFL,CHFL,BA.1,positive,pcr,0,0,0,5.5,0,TRUE,FALSE
detections_hospitalisations,2022-W26,iso_week,CHFL,CHFL,BA.2,positive,pcr,28,10.4,5.1,20.1,10.5,TRUE,FALSE
detections_hospitalisations,2022-W26,iso_week,CHFL,CHFL,BA.2.75,positive,pcr,0,0,0,5.5,0,TRUE,TRUE
detections_hospitalisations,2022-W26,iso_week,CHFL,CHFL,BA.2.86,positive,pcr,0,0,0,5.5,0,TRUE,TRUE
detections_hospitalisations,2022-W26,iso_week,CHFL,CHFL,BA.4,positive,pcr,15,5.6,2.1,13.9,6.3,TRUE,FALSE
detections_hospitalisations,2022-W26,iso_week,CHFL,CHFL,BA.5,positive,pcr,218,81.3,70.4,88.9,81.5,TRUE,TRUE
detections_hospitalisations,2022-W26,iso_week,CHFL,CHFL,BQ.1,positive,pcr,0,0,0,5.5,0,TRUE,TRUE
detections_hospitalisations,2022-W26,iso_week,CHFL,CHFL,XBB,positive,pcr,0,0,0,5.5,0,TRUE,TRUE
detections_hospitalisations,2022-W26,iso_week,CHFL,CHFL,other,positive,pcr,7,2.6,0.7,9.7,1.8,TRUE,FALSE
samples_hospitalisations,2022-W26,iso_week,CHFL,CHFL,all,positive,pcr,268,NA,NA,NA,NA,TRUE,FALSE
detections_hospitalisations,2022-W27,iso_week,CHFL,CHFL,BA.1,positive,pcr,0,0,0,7.2,0.3,TRUE,FALSE
detections_hospitalisations,2022-W27,iso_week,CHFL,CHFL,BA.2,positive,pcr,18,9,3.7,20.1,7.5,TRUE,FALSE
detections_hospitalisations,2022-W27,iso_week,CHFL,CHFL,BA.2.75,positive,pcr,0,0,0,7.2,0,TRUE,TRUE
detections_hospitalisations,2022-W27,iso_week,CHFL,CHFL,BA.2.86,positive,pcr,0,0,0,7.2,0,TRUE,TRUE
detections_hospitalisations,2022-W27,iso_week,CHFL,CHFL,BA.4,positive,pcr,14,7,2.6,17.5,6.4,TRUE,FALSE
detections_hospitalisations,2022-W27,iso_week,CHFL,CHFL,BA.5,positive,pcr,167,83.1,70.4,91,83.8,TRUE,TRUE
detections_hospitalisations,2022-W27,iso_week,CHFL,CHFL,BQ.1,positive,pcr,0,0,0,7.2,0,TRUE,TRUE
detections_hospitalisations,2022-W27,iso_week,CHFL,CHFL,XBB,positive,pcr,0,0,0,7.2,0,TRUE,TRUE
detections_hospitalisations,2022-W27,iso_week,CHFL,CHFL,other,positive,pcr,2,1,0.1,8.9,1.9,TRUE,FALSE
samples_hospitalisations,2022-W27,iso_week,CHFL,CHFL,all,positive,pcr,201,NA,NA,NA,NA,TRUE,FALSE
detections_hospitalisations,2022-W28,iso_week,CHFL,CHFL,BA.1,positive,pcr,2,1,0.1,9.2,0.3,TRUE,FALSE
detections_hospitalisations,2022-W28,iso_week,CHFL,CHFL,BA.2,positive,pcr,6,3.1,0.7,12.5,5.4,TRUE,FALSE
detections_hospitalisations,2022-W28,iso_week,CHFL,CHFL,BA.2.75,positive,pcr,0,0,0,7.4,0,TRUE,TRUE
detections_hospitalisations,2022-W28,iso_week,CHFL,CHFL,BA.2.86,positive,pcr,0,0,0,7.4,0,TRUE,TRUE
detections_hospitalisations,2022-W28,iso_week,CHFL,CHFL,BA.4,positive,pcr,13,6.7,2.4,17.5,5.9,TRUE,FALSE
detections_hospitalisations,2022-W28,iso_week,CHFL,CHFL,BA.5,positive,pcr,168,87,74.7,93.9,86.9,TRUE,TRUE
detections_hospitalisations,2022-W28,iso_week,CHFL,CHFL,BQ.1,positive,pcr,0,0,0,7.4,0,TRUE,TRUE
detections_hospitalisations,2022-W28,iso_week,CHFL,CHFL,XBB,positive,pcr,0,0,0,7.4,0,TRUE,TRUE
detections_hospitalisations,2022-W28,iso_week,CHFL,CHFL,other,positive,pcr,4,2.1,0.4,10.9,1.5,TRUE,FALSE
samples_hospitalisations,2022-W28,iso_week,CHFL,CHFL,all,positive,pcr,193,NA,NA,NA,NA,TRUE,FALSE
detections_hospitalisations,2022-W29,iso_week,CHFL,CHFL,BA.1,positive,pcr,0,0,0,9.5,0.3,TRUE,FALSE
detections_hospitalisations,2022-W29,iso_week,CHFL,CHFL,BA.2,positive,pcr,6,4.1,0.9,15.9,2.9,TRUE,FALSE
detections_hospitalisations,2022-W29,iso_week,CHFL,CHFL,BA.2.75,positive,pcr,0,0,0,9.5,0,TRUE,TRUE
detections_hospitalisations,2022-W29,iso_week,CHFL,CHFL,BA.2.86,positive,pcr,0,0,0,9.5,0,TRUE,TRUE
detections_hospitalisations,2022-W29,iso_week,CHFL,CHFL,BA.4,positive,pcr,6,4.1,0.9,15.9,4.8,TRUE,FALSE
detections_hospitalisations,2022-W29,iso_week,CHFL,CHFL,BA.5,positive,pcr,134,90.5,76.9,96.5,89.7,TRUE,TRUE
detections_hospitalisations,2022-W29,iso_week,CHFL,CHFL,BQ.1,positive,pcr,0,0,0,9.5,0,TRUE,TRUE
detections_hospitalisations,2022-W29,iso_week,CHFL,CHFL,XBB,positive,pcr,0,0,0,9.5,0,TRUE,TRUE
detections_hospitalisations,2022-W29,iso_week,CHFL,CHFL,other,positive,pcr,2,1.4,0.1,11.8,2.2,TRUE,FALSE
samples_hospitalisations,2022-W29,iso_week,CHFL,CHFL,all,positive,pcr,148,NA,NA,NA,NA,TRUE,FALSE
detections_hospitalisations,2022-W30,iso_week,CHFL,CHFL,BA.1,positive,pcr,0,0,0,7.6,0,TRUE,FALSE
detections_hospitalisations,2022-W30,iso_week,CHFL,CHFL,BA.2,positive,pcr,3,1.6,0.2,10.3,2.7,TRUE,FALSE
detections_hospitalisations,2022-W30,iso_week,CHFL,CHFL,BA.2.75,positive,pcr,0,0,0,7.6,0.2,TRUE,TRUE
detections_hospitalisations,2022-W30,iso_week,CHFL,CHFL,BA.2.86,positive,pcr,0,0,0,7.6,0,TRUE,TRUE
detections_hospitalisations,2022-W30,iso_week,CHFL,CHFL,BA.4,positive,pcr,7,3.7,0.9,13.5,4.3,TRUE,FALSE
detections_hospitalisations,2022-W30,iso_week,CHFL,CHFL,BA.5,positive,pcr,173,91.5,80.1,96.7,91,TRUE,TRUE
detections_hospitalisations,2022-W30,iso_week,CHFL,CHFL,BQ.1,positive,pcr,0,0,0,7.6,0,TRUE,TRUE
detections_hospitalisations,2022-W30,iso_week,CHFL,CHFL,XBB,positive,pcr,0,0,0,7.6,0.2,TRUE,TRUE
detections_hospitalisations,2022-W30,iso_week,CHFL,CHFL,other,positive,pcr,6,3.2,0.7,12.7,1.7,TRUE,FALSE
samples_hospitalisations,2022-W30,iso_week,CHFL,CHFL,all,positive,pcr,189,NA,NA,NA,NA,TRUE,FALSE
detections_hospitalisations,2022-W31,iso_week,CHFL,CHFL,BA.1,positive,pcr,0,0,0,8.1,0.2,TRUE,FALSE
detections_hospitalisations,2022-W31,iso_week,CHFL,CHFL,BA.2,positive,pcr,4,2.3,0.4,11.8,1.5,TRUE,FALSE
detections_hospitalisations,2022-W31,iso_week,CHFL,CHFL,BA.2.75,positive,pcr,1,0.6,0,9.1,0.2,TRUE,TRUE
detections_hospitalisations,2022-W31,iso_week,CHFL,CHFL,BA.2.86,positive,pcr,0,0,0,8.1,0,TRUE,TRUE
detections_hospitalisations,2022-W31,iso_week,CHFL,CHFL,BA.4,positive,pcr,9,5.1,1.5,15.9,4.3,TRUE,FALSE
detections_hospitalisations,2022-W31,iso_week,CHFL,CHFL,BA.5,positive,pcr,161,91,78.9,96.4,92.1,TRUE,TRUE
detections_hospitalisations,2022-W31,iso_week,CHFL,CHFL,BQ.1,positive,pcr,0,0,0,8.1,0,TRUE,TRUE
detections_hospitalisations,2022-W31,iso_week,CHFL,CHFL,XBB,positive,pcr,1,0.6,0,9.1,0.2,TRUE,TRUE
detections_hospitalisations,2022-W31,iso_week,CHFL,CHFL,other,positive,pcr,1,0.6,0,9.1,1.5,TRUE,FALSE
samples_hospitalisations,2022-W31,iso_week,CHFL,CHFL,all,positive,pcr,177,NA,NA,NA,NA,TRUE,FALSE
detections_hospitalisations,2022-W32,iso_week,CHFL,CHFL,BA.1,positive,pcr,1,0.7,0,10.9,0.7,TRUE,FALSE
detections_hospitalisations,2022-W32,iso_week,CHFL,CHFL,BA.2,positive,pcr,1,0.7,0,10.9,1.5,TRUE,FALSE
detections_hospitalisations,2022-W32,iso_week,CHFL,CHFL,BA.2.75,positive,pcr,0,0,0,9.7,0.2,TRUE,TRUE
detections_hospitalisations,2022-W32,iso_week,CHFL,CHFL,BA.2.86,positive,pcr,0,0,0,9.7,0,TRUE,TRUE
detections_hospitalisations,2022-W32,iso_week,CHFL,CHFL,BA.4,positive,pcr,6,4.1,1,16.2,4.5,TRUE,FALSE
detections_hospitalisations,2022-W32,iso_week,CHFL,CHFL,BA.5,positive,pcr,136,93.8,81,98.2,92.5,TRUE,TRUE
detections_hospitalisations,2022-W32,iso_week,CHFL,CHFL,BQ.1,positive,pcr,0,0,0,9.7,0,TRUE,TRUE
detections_hospitalisations,2022-W32,iso_week,CHFL,CHFL,XBB,positive,pcr,0,0,0,9.7,0.2,TRUE,TRUE
detections_hospitalisations,2022-W32,iso_week,CHFL,CHFL,other,positive,pcr,1,0.7,0,10.9,0.4,TRUE,FALSE
samples_hospitalisations,2022-W32,iso_week,CHFL,CHFL,all,positive,pcr,145,NA,NA,NA,NA,TRUE,FALSE
detections_hospitalisations,2022-W33,iso_week,CHFL,CHFL,BA.1,positive,pcr,1,1.5,0.1,20.9,0.7,TRUE,FALSE
detections_hospitalisations,2022-W33,iso_week,CHFL,CHFL,BA.2,positive,pcr,1,1.5,0.1,20.9,1.6,TRUE,FALSE
detections_hospitalisations,2022-W33,iso_week,CHFL,CHFL,BA.2.75,positive,pcr,0,0,0,18.6,0,TRUE,TRUE
detections_hospitalisations,2022-W33,iso_week,CHFL,CHFL,BA.2.86,positive,pcr,0,0,0,18.6,0,TRUE,TRUE
detections_hospitalisations,2022-W33,iso_week,CHFL,CHFL,BA.4,positive,pcr,3,4.4,0.6,25.1,4.2,TRUE,FALSE
detections_hospitalisations,2022-W33,iso_week,CHFL,CHFL,BA.5,positive,pcr,63,92.6,71,98.5,93.2,TRUE,TRUE
detections_hospitalisations,2022-W33,iso_week,CHFL,CHFL,BQ.1,positive,pcr,0,0,0,18.6,0,TRUE,TRUE
detections_hospitalisations,2022-W33,iso_week,CHFL,CHFL,XBB,positive,pcr,0,0,0,18.6,0,TRUE,TRUE
detections_hospitalisations,2022-W33,iso_week,CHFL,CHFL,other,positive,pcr,0,0,0,18.6,0.2,TRUE,FALSE
samples_hospitalisations,2022-W33,iso_week,CHFL,CHFL,all,positive,pcr,68,NA,NA,NA,NA,TRUE,FALSE
detections_hospitalisations,2022-W34,iso_week,CHFL,CHFL,BA.1,positive,pcr,0,0,0,17.3,0.5,TRUE,FALSE
detections_hospitalisations,2022-W34,iso_week,CHFL,CHFL,BA.2,positive,pcr,2,2.7,0.3,21.5,1.4,TRUE,FALSE
detections_hospitalisations,2022-W34,iso_week,CHFL,CHFL,BA.2.75,positive,pcr,0,0,0,17.3,0.4,TRUE,TRUE
detections_hospitalisations,2022-W34,iso_week,CHFL,CHFL,BA.2.86,positive,pcr,0,0,0,17.3,0,TRUE,TRUE
detections_hospitalisations,2022-W34,iso_week,CHFL,CHFL,BA.4,positive,pcr,3,4.1,0.6,23.4,2.8,TRUE,FALSE
detections_hospitalisations,2022-W34,iso_week,CHFL,CHFL,BA.5,positive,pcr,69,93.2,72.9,98.6,94.6,TRUE,TRUE
